ABD DOLARI,5.9674,5.9913
AVUSTRALYA DOLARI,3.9916,4.0605
DANİMARKA KRONU,0.87832,0.88529
EURO,6.5736,6.6000
İNGİLİZ STERLİNİ,7.7543,7.8119
İSVİÇRE FRANGI,6.1242,6.1820
İSVEÇ KRONU,0.61618,0.62443
KANADA DOLARI,4.4952,4.5495
KUVEYT DİNARI,19.2411,20.0866
NORVEÇ KRONU,0.64647,0.65277
SUUDİ ARABİSTAN RİYALİ,1.5797,1.6065
JAPON YENİ,5.4503,5.5277
BULGAR LEVASI,,
RUMEN LEYİ,,
RUS RUBLESİ,,
İRAN RİYALİ,,
ÇİN YUANI,,
PAKİSTAN RUPİSİ,,
KATAR RİYALİ,,
ÖZEL ÇEKME HAKKI (SDR)                            ,"
		","
		"
