ABD DOLARI,5.5770,5.5993
AVUSTRALYA DOLARI,3.7666,3.8315
DANİMARKA KRONU,0.82778,0.83434
EURO,6.1899,6.2147
İNGİLİZ STERLİNİ,6.7480,6.7981
İSVİÇRE FRANGI,5.6385,5.6918
İSVEÇ KRONU,0.57511,0.58281
KANADA DOLARI,4.1999,4.2506
KUVEYT DİNARI,17.9623,18.7516
NORVEÇ KRONU,0.62397,0.63005
SUUDİ ARABİSTAN RİYALİ,1.4766,1.5016
JAPON YENİ,5.1889,5.2626
BULGAR LEVASI,,
RUMEN LEYİ,,
RUS RUBLESİ,,
İRAN RİYALİ,,
ÇİN YUANI,,
PAKİSTAN RUPİSİ,,
KATAR RİYALİ,,
ÖZEL ÇEKME HAKKI (SDR)                            ,"
		","
		"
